county,township,parcel_count,total_area_ha,centroid_lat,centroid_lng
桃園市,大溪區,10246,1584.13,24.888064890777326,121.28255040675019
桃園市,平鎮區,9168,1443.52,24.91881831721703,121.21541787746956
桃園市,八德區,7377,1221.09,24.948719169243898,121.2862654619842
桃園市,復興區,2221,974.58,24.72775344673094,121.37640746376482
桃園市,桃園區,3117,574.31,24.99700923968059,121.28641966065892
桃園市,龜山區,1608,300.74,25.03417011505736,121.3456051924447
嘉義市,西區,7007,1248.93,23.483098577101693,120.4180767108098
嘉義市,東區,3116,685.01,23.48537555029762,120.47394845577045
新竹縣,新豐鄉,11605,2300.92,24.91540340118689,121.00453406049778
新竹縣,關西鎮,11323,2030.22,24.79174408220137,121.17051292843784
新竹縣,新埔鎮,11689,1780.16,24.83935071135595,121.09032873924062
新竹縣,竹北市,12443,1721.67,24.840270365343375,120.9891969842433
新竹縣,湖口鄉,10125,1674.04,24.897853432806322,121.05269590294405
新竹縣,竹東鎮,8850,1209.97,24.755722738437367,121.0611762266383
新竹縣,尖石鄉,6721,1094.84,24.6562946360558,121.2604008896019
新竹縣,寶山鄉,5163,1091.28,24.734332759912217,120.99239403079338
新竹縣,芎林鄉,7480,1067.18,24.76709502534835,121.09780745496204
新竹縣,橫山鄉,5680,1039.77,24.71216022575038,121.14063323233418
新竹縣,峨眉鄉,4961,950.6,24.687372806890608,121.00759712435618
新竹縣,五峰鄉,2776,683.37,24.605291558671855,121.12111918995899
新竹縣,北埔鄉,3000,647.51,24.69035247480314,121.06168029683839
苗栗縣,後龍鎮,16525,2852.31,24.62371540949845,120.78725479488801
苗栗縣,苑裡鎮,14412,2680.27,24.411523766752506,120.67700719482349
苗栗縣,卓蘭鎮,7720,2465.93,24.321502161378582,120.84820622591367
苗栗縣,通霄鎮,12773,2348.2,24.482563002817706,120.7056459059725
苗栗縣,大湖鄉,11321,1820.3,24.388659246686398,120.86395951331042
苗栗縣,公館鄉,13834,1628.82,24.503684275137772,120.83255813703552
苗栗縣,銅鑼鄉,9222,1353.2,24.474432669510097,120.79562712266659
苗栗縣,頭份市,8107,1289.61,24.680178343549546,120.92064466754762
苗栗縣,泰安鄉,4968,1116.42,24.41273889247107,120.93835253085986
苗栗縣,竹南鎮,5830,1043.79,24.695230085524535,120.87335909461244
苗栗縣,西湖鄉,6717,898.03,24.542480450672773,120.75881862266156
苗栗縣,三灣鄉,4440,828.52,24.642092420935597,120.95112570299803
苗栗縣,造橋鄉,4894,781.89,24.633404487017017,120.86086028999642
苗栗縣,三義鄉,3921,749.22,24.38223105554924,120.76930667996467
苗栗縣,苗栗市,5691,739.14,24.563777335336596,120.81629598843035
苗栗縣,南庄鄉,3817,717.73,24.60081758687008,120.98979122951916
苗栗縣,獅潭鄉,1894,587.14,24.51516815898467,120.91948262065935
苗栗縣,頭屋鄉,2729,486.3,24.577383236651524,120.86945548896988
南投縣,國姓鄉,13032,5803.66,24.034788824225483,120.86128070582026
南投縣,竹山鎮,23554,5753.69,23.730498861953635,120.69791316190572
南投縣,中寮鄉,11316,5511.55,23.905406651309665,120.78509957273857
南投縣,名間鄉,29979,5093.64,23.850063703817796,120.6720170706258
南投縣,仁愛鄉,16073,4982.49,24.060376512674168,121.13351475352677
南投縣,埔里鎮,20614,4970.65,23.981987097112427,120.9520670411521
南投縣,草屯鎮,23365,4522.11,23.98262033952547,120.72294807227429
